1234567890->PUNTOS: {0} / {1}	POINTS : {0} / {1}	PUNKTE: {0} / {1}	PUNTI: {0} / {1}	积分：{0} / {1}	ポイント: {0} / {1}	포인트: {0} / {1}	PUNKTY: {0} / {1}	PONTOS: {0} / {1}	БАЛЛЫ: {0} / {1}
¡Oh, oh! Parece que la vaca se soltó otra vez.	Oh oh ! On dirait que la vache s'est encore échappée	Oh OH! Sieht aus, als wäre die Kuh wieder losgeworden	Uh OH! Sembra che la mucca si sia liberata di nuovo	哦哦！看来牛又跑出来了	うわあ！また牛が逃げ出したみたい	아, 오! 소가 또 풀려난 것 같네요	Ojej! Wygląda na to, że krowa znowu się wyrwała	Uh OH! Parece que a vaca se soltou de novo	Ой-ой! Кажется, корова снова вырвалась на свободу.
¡Haga clic y arrastre el mouse para dibujar un círculo alrededor de la vaca!	Cliquez et faites glisser votre souris pour dessiner un cercle autour de la vache !	Klicken und ziehen Sie mit der Maus, um einen Kreis um die Kuh zu zeichnen!	Clicca e trascina con il mouse per disegnare un cerchio attorno alla mucca!	单击并拖动鼠标在牛周围画一个圆圈！	マウスをクリックしてドラッグし、牛の周りに円を描きます。	마우스로 클릭하고 드래그하여 소 주위에 원을 그려보세요!	Kliknij i przeciągnij myszką, aby narysować okrąg wokół krowy!	Clique e arraste com o mouse para desenhar um círculo ao redor da vaca!	Щелкните и перетащите мышь, чтобы нарисовать круг вокруг коровы!
¡Buen trabajo! Controlar a tus animales de granja te dará puntos y dinero, ¡pero no puedes quedarte fuera toda la noche!	Bravo ! Gérer vos animaux de ferme vous rapportera des points et de l'argent, mais vous ne pouvez pas rester dehors toute la nuit !	Gute Arbeit! Wenn du deine Nutztiere bändigst, bekommst du Punkte und Geld, aber du kannst nicht die ganze Nacht draußen bleiben!	Ottimo lavoro! Domare gli animali della fattoria ti farà guadagnare punti e soldi, ma non puoi restare fuori tutta la notte!	干得好！驯服农场动物能给你积分和现金，但你不能整晚都待在外面！	よくやった！農場の動物を調教するとポイントと現金が手に入るけど、夜通し外にいるのは無理だよ！	잘했어요! 농장 동물들을 몰면 포인트와 현금을 얻을 수 있지만, 밤새도록 밖에 있을 순 없잖아요!	Dobra robota! Za opiekowanie się zwierzętami gospodarskimi dostaniesz punkty i gotówkę, ale nie możesz przecież siedzieć na dworze całą noc!	Bom trabalho! Controlar os animais da fazenda lhe dará pontos e dinheiro, mas você não pode ficar fora a noite toda!	Отличная работа! Занимаясь борьбой с сельскохозяйственными животными, вы получите очки и деньги, но вы же не можете сидеть дома всю ночь!
Necesitarás reunir suficientes animales para alcanzar el objetivo antes de que se acabe el tiempo.	Vous devrez rassembler suffisamment d'animaux pour atteindre l'objectif de points avant la fin du temps imparti.	Sie müssen genügend Tiere zusammentreiben, um das Punkteziel zu erreichen, bevor die Zeit abläuft.	Dovrai radunare abbastanza animali per raggiungere il punteggio obiettivo prima che scada il tempo.	您需要在时间耗尽之前控制足够多的动物以达到积分目标。	時間切れになる前に、ポイント目標に到達するのに十分な数の動物を捕まえる必要があります。	시간이 다 되기 전에 목표 지점에 도달하려면 충분한 동물을 모아야 합니다.	Musisz okiełznać wystarczająco dużo zwierząt, aby osiągnąć cel punktowy, zanim skończy się czas.	Você precisará controlar animais suficientes para atingir a meta de pontos antes que o tempo acabe.	Вам нужно будет собрать достаточное количество животных, чтобы достичь намеченной цели до того, как истечет время.
¡Puedes atrapar varios animales a la vez para obtener puntos y dinero extra!	Vous pouvez capturer plusieurs animaux à la fois pour obtenir des points et de l'argent supplémentaires !	Sie können mehrere Tiere gleichzeitig mit dem Lasso einfangen und so zusätzliche Punkte und Geld gewinnen!	Puoi catturare più animali contemporaneamente per ottenere punti extra e denaro!	您可以同时套住多只动物以获得额外的积分和现金！	一度に複数の動物を投げ縄で捕まえて、追加のポイントと現金を獲得できます!	여러 동물을 한 번에 올가미로 묶어 추가 포인트와 현금을 획득하세요!	Możesz złapać na lasso kilka zwierząt jednocześnie, aby zdobyć dodatkowe punkty i gotówkę!	Você pode laçar vários animais de uma vez para ganhar pontos e dinheiro extras!	Вы можете заарканить сразу несколько животных, чтобы получить дополнительные очки и деньги!
¡Ahora intenta enlazar a estas dos criaturas!	Essayez maintenant d'attacher ces deux créatures ensemble !	Versuchen Sie jetzt, diese beiden Viecher gemeinsam mit dem Lasso einzufangen!	Ora prova a catturare insieme queste due creature con il lazo!	现在尝试用套索将这两个小动物套在一起！	さあ、この 2 匹の生き物を一緒に投げ縄で捕まえてみましょう!	이제 이 두 생물을 함께 올가미로 묶어보세요!	A teraz spróbuj złapać te dwa stworzenia na lasso!	Agora tente laçar essas duas criaturas juntas!	А теперь попробуйте поймать этих двух тварей одновременно!
¡Cuidado con los depredadores! Perderás puntos si los enlazas con tus animales.	Oh là là, attention aux prédateurs ! Vous perdrez des points si vous les enlacez avec vos animaux.	Oh, oh, Vorsicht vor Raubtieren! Du verlierst Punkte, wenn du sie mit deinen Tieren einfängst.	Oh, attenzione ai predatori! Perderai punti se li prendi al lazo con i tuoi animali.	哦哦，小心掠食者！如果你用动物套住它们，就会扣分。	うわっ、捕食動物に気をつけろ！動物で捕食動物を捕まえるとポイントを失うぞ。	어휴, 포식자 조심하세요! 동물들과 함께 포식자를 올가미로 묶으면 점수가 깎입니다.	Ojej, uważaj na drapieżniki! Stracisz punkty, jeśli złapiesz je na lasso ze swoimi zwierzętami.	UH OH, cuidado com os predadores! Você perderá pontos se laçá-los com seus animais.	Ой-ой, берегитесь хищников! Вы потеряете очки, если накинете на них лассо вместе с вашими животными.
¡Cuando termine el día, podremos regresar al granero para gastar el dinero que tanto nos costó ganar!	Une fois la journée terminée, nous pouvons retourner à la grange pour dépenser notre argent durement gagné !	Wenn der Tag vorbei ist, können wir zurück in die Scheune gehen, um unser hart verdientes Geld auszugeben!	Una volta finita la giornata, potremo tornare alla stalla per spendere i soldi guadagnati con tanta fatica!	一天结束后，我们可以回到谷仓花掉我们辛苦赚来的钱！	一日が終わったら、納屋に戻って苦労して稼いだお金を使うことができます。	하루가 끝나면 헛간으로 돌아가서 힘들게 번 돈을 쓸 수 있겠지!	Po zakończeniu dnia możemy wrócić do stodoły i wydać ciężko zarobione pieniądze!	Quando o dia termina, podemos voltar ao celeiro para gastar nosso dinheiro suado!	Когда день закончится, мы сможем вернуться в амбар, чтобы потратить наши с трудом заработанные деньги!
Esta es la tienda.	C'est la boutique.	Das ist der Laden.	Questo è il negozio.	这就是商店。	ここがお店です。	여기가 가게예요.	To jest sklep.	Esta é a loja.	Это магазин.
¡Desde aquí puedes agregar nuevos animales para cuidar durante el día!	À partir d'ici, vous pouvez ajouter de nouveaux animaux à combattre pendant la journée !	Von hier aus können Sie im Laufe des Tages neue Tiere hinzufügen, die Sie hüten können!	Da qui puoi aggiungere nuovi animali da accudire durante il giorno!	从这里您可以添加新的动物，以便在白天进行驯服！	ここから、日中に飼育する新しい動物を追加できます。	여기에서 낮 동안 다룰 새로운 동물을 추가할 수 있습니다!	Tutaj możesz dodać nowe zwierzęta, które będziesz mógł tresować w ciągu dnia!	A partir daqui você pode adicionar novos animais para serem controlados durante o dia!	Отсюда вы можете добавлять новых животных, с которыми нужно будет пообщаться в течение дня!
Puedes ver todos los animales que podrían aparecer durante el día haciendo clic en el botón de la parte superior izquierda.	Vous pouvez visualiser tous les animaux qui pourraient apparaître au cours de la journée en cliquant sur le bouton en haut à gauche	Sie können alle Tiere anzeigen, die im Laufe des Tages erscheinen könnten, indem Sie auf die Schaltfläche oben links klicken	Puoi visualizzare tutti gli animali che potrebbero apparire durante il giorno cliccando sul pulsante in alto a sinistra	点击左上角的按钮，您可以查看白天可能出现的所有动物	左上のボタンをクリックすると、日中に現れる可能性のあるすべての動物を見ることができます。	왼쪽 상단의 버튼을 클릭하면 낮 동안 나타날 수 있는 모든 동물을 볼 수 있습니다.	Możesz zobaczyć wszystkie zwierzęta, które mogą pojawić się w ciągu dnia, klikając przycisk w lewym górnym rogu	Você pode ver todos os animais que podem aparecer durante o dia clicando no botão no canto superior esquerdo	Вы можете просмотреть всех животных, которые могут появиться в течение дня, нажав кнопку в левом верхнем углу.
También puedes agregar beneficios poderosos que te darán puntos adicionales al enlazar ciertas combinaciones de animales.	Vous pouvez également ajouter des avantages puissants qui vous donneront des points supplémentaires lorsque vous capturerez certaines combinaisons d'animaux.	Sie können auch mächtige Segnungen hinzufügen, die Ihnen zusätzliche Punkte geben, wenn Sie bestimmte Kombinationen von Tieren einfangen	Puoi anche aggiungere potenti doni che ti daranno punti extra quando prendi al lazo determinate combinazioni di animali	你还可以添加强大的恩赐，当你套住某些动物组合时，这些恩赐会给你额外的分数	特定の動物の組み合わせを投げ縄で捕まえるときに追加のポイントを与える強力な恩恵を追加することもできます	특정 동물 조합을 올가미로 묶을 때 추가 포인트를 제공하는 강력한 은총을 추가할 수도 있습니다.	Możesz również dodać potężne bonusy, które zapewnią Ci dodatkowe punkty podczas łapania na lasso określonych kombinacji zwierząt	Você também pode adicionar benefícios poderosos que lhe darão pontos extras ao laçar certas combinações de animais	Вы также можете добавить мощные бонусы, которые дадут вам дополнительные очки при ловле лассо определенных комбинаций животных.
¡Aquí puedes mejorar tus animales para que te den más puntos y dinero!	Ici, vous pouvez améliorer vos animaux afin qu'ils vous rapportent plus de points et d'argent !	Hier können Sie Ihre Tiere aufrüsten, damit sie Ihnen mehr Punkte und Geld einbringen!	Qui puoi potenziare i tuoi animali in modo che ti diano più punti e denaro!	在这里，您可以升级您的动物，以便它们为您带来更多的积分和现金！	ここでは、動物をアップグレードして、より多くのポイントと現金を獲得できます。	여기에서는 동물을 업그레이드하여 더 많은 포인트와 현금을 얻을 수 있습니다!	Tutaj możesz ulepszać swoje zwierzęta, aby dawały ci więcej punktów i gotówki!	Aqui, você pode melhorar seus animais para que eles lhe dêem mais pontos e dinheiro!	Здесь вы можете улучшать своих животных, чтобы они приносили вам больше очков и денег!
¡Por fin puedes renovar la tienda una vez al día, con un coste que aumenta permanentemente!	Enfin, vous pouvez relancer la boutique une fois par jour, à un coût qui augmente en permanence !	Schließlich können Sie den Shop einmal pro Tag neu würfeln, zu einem Preis, der dauerhaft steigt!	Infine, puoi rinnovare il negozio una volta al giorno, a un costo che aumenta in modo permanente!	最后，您可以每天重开一次商店，但费用会永久增加！	最後に、ショップを 1 日に 1 回再ロールできますが、コストは永続的に増加します。	마지막으로, 하루에 한 번씩 상점을 다시 열 수 있으며, 비용은 영구적으로 증가합니다!	Na koniec, możesz odnowić sklep raz dziennie, a koszt ten wzrośnie na stałe!	Por fim, você pode redefinir a loja uma vez por dia, a um custo que aumenta permanentemente!	Наконец, вы можете переоборудовать магазин один раз в день, но стоимость этого обновления постоянно увеличивается!
Ahora que ya sabes lo básico, ¡comencemos!	Maintenant que vous connaissez les bases, commençons !	Nachdem Sie nun die Grundlagen kennen, können wir loslegen!	Ora che conosci le basi, cominciamo!	现在您已经了解了基础知识，让我们开始吧！	基本がわかったら、始めましょう!	이제 기본 사항을 알았으니 시작해 보겠습니다!	Teraz, gdy znasz już podstawy, możemy zaczynać!	Agora que você sabe o básico, vamos começar!	Теперь, когда вы знакомы с основами, давайте начнем!
Te fuiste a dormir...	Tu as frappé le foin...	Du bist ins Bett gegangen ...	Sei andato a letto...	你睡觉了...	寝ちゃったよ...	 	Trafiłeś w siano...	Você foi dormir...	Вы ложитесь спать...
Día:	Jour:	Tag:	Giorno:	天：	日：	낮:	Dzień:	Dia:	День:
Reanudar	Redémarrage	Neustart	Ricomincia	重启	再起動	다시 시작	Uruchom ponownie	Reiniciar	Перезапуск
Hogar	Maison	Heim	Casa	家	家	집	Dom	Lar	Дом
¡Tú ganas!	Vous avez gagné!	Sie gewinnen!	Hai vinto!	你赢了！	あなたの勝ちです！	당신은 승리합니다!	Wygrywasz!	Você venceu!	Вы победили!
Sobreviviste	Tu as survécu	Du hast überlebt	Sei sopravvissuto	你幸存了	あなたは生き残った	당신은 살아남았습니다	Przeżyłeś	Você sobreviveu	Ты выжил
Días	Jours	Tage	Giorni	天	日数	날	Dni	Dias	Дни
Modo sin fin	Mode sans fin	Endlosmodus	Modalità infinita	无尽模式	エンドレスモード	무한 모드	Tryb nieskończony	Modo Infinito	Бесконечный режим
Menú principal	Menu principal	Hauptmenü	Menu principale	主菜单	メインメニュー	메인 메뉴	Menu główne	Menu principal	Главное меню
¡Yuehaw!	Ouaip !	Juhuu!	Evviva!	耶哈！	イェー！	예호!	Ooo, brawo!	Yeehaw!	Ух ты!
Desbloqueaste:	Vous avez débloqué :	Du hast freigeschaltet:	Hai sbloccato:	您已解锁：	ロックを解除しました:	잠금 해제됨:	Odblokowałeś:	Você desbloqueou:	Вы разблокировали:
Rancho Wrangle	Ranch Wrangle	Wrangle Ranch	Wrangle Ranch	牧羊牧场	ラングール牧場	랭글 랜치	Ranczo Wrangle	Rancho Wrangle	Ранчо Врангл
Nuevo juego	Nouveau jeu	Neues Spiel	Nuovo gioco	新游戏	新しいゲーム	새로운 게임	Nowa gra	Novo jogo	Новая игра
Tutorial	Tutoriel	Lernprogramm	Esercitazione	教程	チュートリアル	지도 시간	Seminarium	Tutorial	Учебное пособие
Continuar	Continuer	Weitermachen	Continuare	继续	続く	계속하다	Kontynuować	Continuar	Продолжать
¡Bienvenido al Libro de Bitácora!	Bienvenue dans le Journal de Bord !	Willkommen im Logbuch!	Benvenuti al diario di bordo!	欢迎来到日志！	ログブックへようこそ！	일지에 오신 것을 환영합니다!	Witamy w Dzienniku!	Bem-vindo ao Diário de Bordo!	Добро пожаловать в бортовой журнал!
¡Haga clic en una pestaña de arriba para ver sus estadísticas y récords!	Cliquez sur un onglet ci-dessus pour afficher vos statistiques et vos records !	Klicken Sie oben auf eine Registerkarte, um Ihre Statistiken und Aufzeichnungen anzuzeigen!	Fai clic su una scheda qui sopra per visualizzare le tue statistiche e i tuoi record!	单击上面的标签即可查看您的统计数据和记录！	上のタブをクリックして、統計と記録を表示してください。	위의 탭을 클릭해서 통계와 기록을 확인하세요!	Kliknij zakładkę powyżej, aby zobaczyć swoje statystyki i rekordy!	Clique em uma aba acima para ver suas estatísticas e registros!	Нажмите на вкладку выше, чтобы просмотреть свою статистику и рекорды!
Cerca	Fermer	Schließen	Vicino	关闭	近い	닫다	Zamknąć	Fechar	Закрывать
Animales	Animaux	Tiere	Animali	动物	動物	동물들	Zwierzęta	Animais	Животные
Total de animales controlados:	Nombre total d'animaux contrôlés :	Gesamtzahl der gefesselten Tiere:	Numero totale di animali catturati:	被驯服的动物总数：	飼育した動物の総数:	잡은 동물의 총 수:	Łączna liczba złapanych zwierząt:	Total de animais controlados:	Общее количество обработанных животных:
Los 3 animales más comprados:	Top 3 des animaux les plus achetés :	Top 3 der am häufigsten gekauften Tiere:	I 3 animali più acquistati:	购买量最高的 3 种动物：	最も購入された動物トップ3：	가장 많이 구매된 동물 3가지:	3 najchętniej kupowane zwierzęta:	Os 3 animais mais comprados:	Топ-3 самых покупаемых животных:
Número de animales comprados:	Nombre d'animaux achetés :	Anzahl der gekauften Tiere:	Numero di animali acquistati:	购买动物数量：	購入した動物の数:	구매한 동물 수:	Liczba zakupionych zwierząt:	Número de animais comprados:	Количество купленных животных:
El lazo más grande:	Le plus grand lasso :	Größtes Lasso:	Il lazo più grande:	最大套索：	最大の投げ縄:	가장 큰 올가미:	Największe lasso:	Maior Laço:	Самое большое лассо:
Puntos más altos en un solo lazo:	Points les plus élevés dans un seul lasso :	Höchste Punkte in einem einzelnen Lasso:	Punti più alti in un singolo lazo:	单个套索中的最高点：	シングルラソの最高得点:	단일 올가미에서 가장 높은 점수:	Najwyższe punkty w pojedynczym lasso:	Pontos mais altos em um único laço:	Наибольшее количество очков за одно лассо:
Bendiciones	Avantages	Segen	Doni	恩惠	恩恵	보너스	Dobrodziejstwa	Bênçãos	Благодеяния
Los 3 beneficios más comprados:	Top 3 des avantages les plus achetés :	Die 3 am häufigsten gekauften Segen:	I 3 Boons più acquistati:	购买次数最多的 3 项恩赐：	最も多く購入された恩恵トップ3:	가장 많이 구매된 보너스 3가지:	3 najczęściej kupowane prezenty:	Os 3 presentes mais comprados:	Топ-3 самых покупаемых благ:
Número de beneficios adquiridos:	Nombre de bienfaits achetés :	Anzahl der gekauften Segnungen:	Numero di benefici acquistati:	购买的恩赐数量：	購入した恩恵の数:	구매한 보너스 수:	Liczba zakupionych dobrodziejstw:	Número de Bênçãos Compradas:	Количество приобретенных благ:
Número de mejoras de animales adquiridas:	Nombre d'améliorations animales achetées :	Anzahl der gekauften Tier-Upgrades:	Numero di potenziamenti per animali acquistati:	购买的动物升级数量：	購入した動物のアップグレードの数:	구매한 동물 업그레이드 수:	Liczba zakupionych ulepszeń zwierząt:	Número de atualizações de animais adquiridas:	Количество приобретенных улучшений животных:
Nivel animal más alto alcanzado:	Niveau animal le plus élevé atteint :	Höchstes erreichtes Tierlevel:	Livello animale più alto raggiunto:	达到的最高动物水平：	達成された最高動物レベル:	달성한 최고 동물 레벨:	Najwyższy osiągnięty poziom zwierzęcia:	Nível animal mais alto alcançado:	Самый высокий достигнутый уровень животного:
Economía	Économie	Wirtschaft	Economia	经济	経済	경제	Gospodarka	Economia	Экономика
Mayor cantidad de dinero en un solo lazo:	Le plus gros gain en un seul lasso :	Höchster Bargeldbetrag mit einem einzigen Lasso:	Il massimo di denaro in un singolo lazo:	单次套索最高现金：	1回の投げ縄で獲得した最高額の現金:	단일 올가미에서 가장 높은 현금:	Największa ilość gotówki w jednym lasso:	Maior quantidade de dinheiro em um único laço:	Наибольший выигрыш за один лассо:
Mayor cantidad de efectivo retenido a la vez:	Montant le plus élevé de liquidités détenues à la fois :	Höchster gleichzeitig gehaltener Bargeldbestand:	Massimo importo di denaro contante detenuto contemporaneamente:	一次性持有最高现金：	一度に保有できる最高現金額:	한 번에 보유한 최고 현금:	Największa ilość gotówki posiadanej jednocześnie:	Maior quantidade de dinheiro retido simultaneamente:	Наибольший объем денежных средств, удерживаемых одновременно:
La mayor cantidad de repeticiones en un solo juego:	Plus grand nombre de relances en une seule partie :	Die meisten Wiederholungen in einem einzigen Spiel:	Maggior numero di rilanci in una singola partita:	单场游戏中最多重掷次数：	1ゲームでの最多リロール数:	단일 게임에서 가장 많은 재시도 횟수:	Najwięcej ponownych rzutów w jednej grze:	Mais repetições em um único jogo:	Наибольшее количество перебросов за одну игру:
Repeticiones totales:	Total des relances :	Gesamtzahl der Wiederholungen:	Totale rilanci:	总重掷次数：	合計再ロール数:	총 재시도 횟수:	Łączna liczba ponownych rzutów:	Total de Repetições:	Всего перебросов:
Archivos	Enregistrements	Aufzeichnungen	Registrazioni	记录	記録	기록	Dokumentacja	Registros	Записи
Número redondo más alto:	Numéro rond le plus élevé :	Höchste Rundenzahl:	Numero tondo più alto:	最高轮数：	最高ラウンド番号:	최고 라운드 번호:	Najwyższa liczba okrągła:	Maior número redondo:	Наибольшее число раундов:
Número redondo más alto en máxima dificultad:	Numéro de tour le plus élevé à la difficulté maximale :	Höchste Rundenzahl bei maximalem Schwierigkeitsgrad:	Numero di round più alto alla massima difficoltà:	最大难度下的最高轮数：	最高難易度での最高ラウンド数:	최대 난이도에서 가장 높은 라운드 숫자:	Najwyższa liczba okrągła przy maksymalnym poziomie trudności:	Maior número redondo na dificuldade máxima:	Наибольшее количество раундов на максимальной сложности:
Número de situaciones límite:	Nombre d'appels rapprochés :	Anzahl der Beinaheunfälle:	Numero di situazioni pericolose:	险情发生次数：	危機一髪の数:	아슬아슬한 상황의 횟수:	Liczba niebezpiecznych sytuacji:	Número de quase acidentes:	Количество опасных ситуаций:
Hogar	Maison	Heim	Casa	家	家	집	Dom	Lar	Дом
Animales	Animaux	Tiere	Animali	动物	動物	동물들	Zwierzęta	Animais	Животные
Bendiciones	Avantages	Segen	Doni	恩惠	恩恵	보너스	Dobrodziejstwa	Bênçãos	Благодеяния
Economía	Économie	Wirtschaft	Economia	经济	経済	경제	Gospodarka	Economia	Экономика
Archivos	Enregistrements	Aufzeichnungen	Registrazioni	记录	記録	기록	Dokumentacja	Registros	Записи
Juego en pausa	Jeu en pause	Spiel pausiert	Gioco in pausa	游戏暂停	ゲームを一時停止しました	게임 일시 중지됨	Gra wstrzymana	Jogo pausado	Игра приостановлена
Ajustes	Paramètres	Einstellungen	Impostazioni	设置	設定	설정	Ustawienia	Configurações	Настройки
Cuaderno	Registre	Logbuch	Diario di bordo	日志	ログブック	항공 일지	Dziennik okrętowy	Diário de bordo	Бортовой журнал
Reanudar	Reprendre	Wieder aufnehmen	Riprendere	恢复	再開する	재개하다	Wznawiać	Retomar	Резюме
Resolución	Résolution	Auflösung	Risoluzione	解决	解決	해결	Rezolucja	Resolução	Разрешение
Modo de pantalla completa	Mode plein écran	Vollbildmodus	Modalità a schermo intero	全屏模式	フルスクリーンモード	전체 화면 모드	Tryb pełnoekranowy	Modo de tela cheia	Полноэкранный режим
Límite de velocidad de cuadros	Limite de fréquence d'images	Framerate-Obergrenze	Limite di frame rate	帧率上限	フレームレートキャップ	프레임 속도 제한	Limit liczby klatek na sekundę	Limite de taxa de quadros	Ограничение частоты кадров
Idioma	Langue	Sprache	Lingua	语言	言語	언어	Język	Linguagem	Язык
Música	Musique	Musik	Musica	音乐	音楽	음악	Muzyka	Música	Музыка
Efectos de sonido	Effets sonores	Spezialeffekte	Effetti sonori	音效	効果音	음향효과	Efekty specjalne	Efeitos sonoros	SFX
Sincronización vertical	Synchronisation verticale	Vsync	Sincronizzazione verticale	垂直同步	垂直同期	수직 동기화	Synchronizacja pionowa	Sincronização vertical	Vsync
Pantalla completa	Plein écran	Vollbild	A schermo intero	全屏	全画面表示	전체 화면	Pełny ekran	Tela cheia	Полноэкранный
Ventana maximizada	Fenêtre maximisée	Maximiertes Fenster	Finestra massimizzata	最大化窗口	最大化されたウィンドウ	최대화된 창	Zmaksymalizowane okno	Janela maximizada	Развернутое окно
Con ventana	Fenêtré	Fenster	Finestrato	窗口化	窓付き	창문	Okienkowy	Janelado	С окном
Ilimitado	Illimité	Unbegrenzt	Illimitato	无限	無制限	제한 없는	Nieograniczony	Ilimitado	Безлимитный
Abandonar	Quitter	Aufhören	Esentato	辞职	やめる	그만두다	Zrezygnować	Desistir	Покидать
¿Tienda de reroll?	Reroll Shop ?	Reroll-Shop?	Negozio di riavvolgimento?	重滚商店？	リロールショップ？	리롤샵?	Sklep Reroll?	Loja de Reroll?	Магазин рероллов?
¡Manifestación!	Démo!	Demo!	Dimostrazione!	演示！	デモ！	데모!	Demonstracja!	Demonstração!	Демонстрация!
Elige a tu agricultor	Choisissez votre agriculteur	Wählen Sie Ihren Landwirt	Scegli il tuo agricoltore	选择你的农民	農家を選ぶ	농부를 선택하세요	Wybierz swojego rolnika	Escolha seu fazendeiro	Выберите своего фермера
El viejo MacDonald	Le vieux MacDonald	Alter MacDonald	Vecchio MacDonald	老麦克唐纳	オールド・マクドナルド	올드 맥도날드	Stary MacDonald	Velho MacDonald	Старый Макдональд
Recibe el doble de dinero en efectivo diariamente después de cada ronda.	Reçoit le double d'argent quotidien après chaque tour.	Erhält nach jeder Runde das doppelte Tagesgeld.	Riceve il doppio del denaro giornaliero dopo ogni round.	每轮结束后可获得双倍每日现金。	各ラウンドの後に毎日の現金を 2 倍受け取ります。	각 라운드가 끝날 때마다 일일 현금을 두 배로 받습니다.	Otrzymuje podwójną dzienną gotówkę po każdej rundzie.	Recebe o dobro de dinheiro diário após cada rodada.	Получает двойную выплату наличными ежедневно после каждого раунда.
Bubba	Bubba	Bubba	Bubba	巴巴	ババ	부바	Bubba	Bubba	Бабба
Hay 3 opciones para mejorar animales en la tienda. Son más económicas.	La boutique propose trois options d'améliorations pour les animaux. Ces améliorations sont moins chères.	Bietet im Shop 3 Möglichkeiten für Tier-Upgrades. Tier-Upgrades sind günstiger.	Ci sono 3 opzioni per i potenziamenti degli animali nel negozio. I potenziamenti degli animali sono più economici.	商店提供 3 种动物升级选择。动物升级价格更便宜。	ショップでは動物のアップグレードを3種類から選択できます。動物のアップグレードは価格が安くなります。	상점에서 동물 업그레이드를 3가지 선택할 수 있습니다. 동물 업그레이드는 더 저렴합니다.	W sklepie dostępne są 3 opcje ulepszeń zwierząt. Ulepszenia zwierząt są tańsze.	Tem 3 opções de melhorias para animais na loja. Melhorias para animais são mais baratas.	В магазине есть 3 варианта улучшения животных. Улучшения животных дешевле.
Completa el juego una vez para desbloquear a este granjero.	Terminez le jeu une fois pour débloquer ce fermier.	Spielen Sie das Spiel einmal durch, um diesen Farmer freizuschalten.	Completa il gioco una volta per sbloccare questo contadino.	通关游戏一次即可解锁这个农民。	ゲームを一度クリアすると、この農民のロックが解除されます。	게임을 한 번 클리어하면 이 농부를 잠금 해제할 수 있습니다.	Ukończ grę raz, aby odblokować tego rolnika.	Vença o jogo uma vez para desbloquear este fazendeiro.	Пройдите игру один раз, чтобы разблокировать этого фермера.
Configuración del juego	Paramètres du jeu	Spieleinstellungen	Impostazioni di gioco	游戏设置	ゲーム設定	게임 설정	Ustawienia gry	Configurações do jogo	Настройки игры
Iniciar juego	Démarrer le jeu	Spiel starten	Inizia il gioco	开始游戏	ゲームを開始	게임 시작	Rozpocznij grę	Iniciar jogo	Начать игру
Longitud redonda:	Longueur ronde :	Rundenlänge:	Lunghezza del giro:	回合长度：	ラウンドの長さ:	라운드 길이:	Długość rundy:	Comprimento redondo:	Длина раунда:
Efectivo diario:	Argent comptant quotidien :	Tägliches Bargeld:	Contanti giornalieri:	每日现金：	デイリーキャッシュ:	일일 현금:	Dzienna gotówka:	Dinheiro diário:	Ежедневные наличные:
Número de días:	Nombre de jours :	Anzahl der Tage:	Numero di giorni:	天数：	日数:	일수:	Liczba dni:	Número de dias:	Количество дней:
Depredadores iniciales:	Prédateurs de départ :	Raubtiere starten:	Predatori iniziali:	初始掠食者：	先発プレデター:	시작하는 포식자:	Początkujący Predatorzy:	Predadores iniciais:	Стартовые Хищники:
Precios de la tienda:	Prix ​​de la boutique :	Shop-Preise:	Prezzi del negozio:	商店价格：	ショップ価格:	상점 가격:	Ceny w sklepie:	Preços da loja:	Цены в магазине:
Cuotas de puntos:	Quotas de points :	Punktequoten:	Quote di punti:	积分配额：	ポイント割り当て:	포인트 할당량:	Limity punktowe:	Cotas de pontos:	Квоты баллов:
Nivel de cosecha:	Niveau de récolte :	Erntestufe:	Livello di raccolta:	收获等级：	収穫レベル:	수확 수준:	Poziom zbiorów:	Nível de colheita:	Уровень урожая:
Principiante	Novice	Anfänger	Novizio	新手	初心者	초심자	Nowicjusz	Novato	Новичок
Veterano	Vétéran	Veteran	Veterano	老将	ベテラン	재향 군인	Weteran	Veterano	Ветеран
Experto	Expert	Experte	Esperto	专家	専門家	전문가	Ekspert	Especialista	Эксперт
Por determinar	À déterminer	Wird noch bekannt gegeben	Da definire	待定	未定	미정	Do ustalenia	A definir	Будет определено
Por determinar	À déterminer	Wird noch bekannt gegeben	Da definire	待定	未定	미정	Do ustalenia	A definir	Будет определено
Oveja negra	Mouton noir	Schwarzes Schaf	Pecora nera	黑羊	ブラックシープ	흑양	Czarna owca	Ovelha Negra	Черная овца
